COUNTRY,CAPITAL_CITY,ISO_ALPHA3,ISO_NUMERIC_M49,AIRPORT_CODE,REGION
"Micronesia, Federated States of",Palikir,FSM,583,,Oceania
Moldova,Chisinau,MDA,498,KIV,North Asia
Monaco,Monaco,MCO,492,MUC,Europe
Mongolia,Ulaanbaatar,MNG,496,,East Asia
Montenegro,Podgorica,MNE,499,TGD,Europe
Morocco,Rabat,MAR,504,RBA,Europe
Mozambique,Maputo,MOZ,508,MPM,Sub-Saharan Africa
Myanmar,Rangoon,MMR,104,,South & South East Asia
Namibia,Windhoek,NAM,516,ZWH,Sub-Saharan Africa
Nauru,Yaren District,NRU,520,,Oceania
Nepal,Kathmandu,NPL,524,,South & South East Asia
Netherlands,Amsterdam,NLD,528,ZYA,Europe
New Zealand,Wellington,NZL,554,WLG,Oceania
Nicaragua,Managua,NIC,558,MGA,Central America
Niger,Niamey,NER,562,NIM,Sub-Saharan Africa
Nigeria,Abuja,NGA,566,ABV,Sub-Saharan Africa
Norway,Oslo,NOR,578,XZO,Europe
Oman,Muscat,OMN,512,MUT,Middle East
Pakistan,Islamabad,PAK,586,ISB,Middle East
Palau,Melekeok,PLW,585,,Oceania
Panama,Panama City,PAN,591,PTY,Central America
Papua New Guinea,Port Moresby,PNG,598,POM,Oceania
Paraguay,Asuncion,PRY,600,ASU,South America
Peru,Lima,PER,604,LLH,South America
Philippines,Manila,PHL,608,,South & South East Asia
Poland,Warsaw,POL,616,WMI,Europe
Portugal,Lisbon,PRT,620,LIS,Europe
Qatar,Doha,QAT,634,DOH,Middle East
Romania,Bucharest,ROU,642,,Europe
Russia,Moscow,RUS,643,PUW,North Asia
Rwanda,Kigali,RWA,646,KGL,Sub-Saharan Africa
Saint Kitts and Nevis,Basseterre,KNA,659,SKB,Caribbean
Saint Lucia,Castries,LCA,662,,Caribbean
Saint Vincent and the Grenadines,Kingstown,VCT,670,SVD,Caribbean
Samoa,Apia,WSM,882,API,Oceania
San Marino,San Marino,SMR,674,PMV,Europe
Sao Tome and Principe,Sao Tome,STP,678,TMS,Sub-Saharan Africa
Saudi Arabia,Riyadh,SAU,682,RUH,Middle East
Senegal,Dakar,SEN,686,DKR,Sub-Saharan Africa
Serbia,Belgrade,SRB,688,BEG,Europe
Seychelles,Victoria,SYC,690,CVM,Sub-Saharan Africa
Sierra Leone,Freetown,SLE,694,FNA,Sub-Saharan Africa
Singapore,Singapore,SGP,702,SIN,South & South East Asia
Slovakia,Bratislava,SVK,703,ZRG,Europe
Slovenia,Ljubljana,SVN,705,LJU,Europe
Solomon Islands,Honiara,SLB,90,HIR,Oceania
Somalia,Mogadishu,SOM,706,MGQ,Sub-Saharan Africa
South Africa,Cape Town,ZAF,710,CPT,Sub-Saharan Africa
